country_name,region,democracy_index,prosperity_index,cluster_#
afghanistan,asia_pacific,"6,552587528488232","5,355980471928397",2
albania,europe,"7,333146095451779","6,897884458909681",6
algeria,middle_east,"6,467957726197633","7,398291293734744",1
andorra,europe,"7,6654368528433885","8,572652134812213",3
angola,africa,"6,447216889029206","6,471775834011391",6
antigua and barbuda,latam_carib,"7,175544290607457","8,154422875741023",0
argentina,latam_carib,"7,104146640378431","8,288242473555737",0
armenia,east_asia,"7,495607893161947","6,735150528885272",6
australia,asia_pacific,"8,306748843752489","9,449755899104963",4
austria,europe,"8,395896251590544","9,46806346623271",4
azerbaijan,east_asia,"7,048357544708468","7,395240032546786",1
bahamas,latam_carib,"7,159068185854418","8,154422875741023",0
bahrain,middle_east,"6,84599257103542","8,403173311635475",0
bangladesh,asia_pacific,"6,147726030157933","6,630390561432058",7
barbados,latam_carib,"7,097459157056095","8,154422875741023",0
belarus,east_asia,"7,064081607709524","7,5122050447518305",1
belgium,europe,"8,721470122111162","9,139544344995931",4
belize,latam_carib,"7,083226458919026","8,154422875741023",0
benin,africa,"6,780889039331588","7,064686737184703",1
bhutan,asia_pacific,"7,250048368954483","7,267087062652562",1
bolivia,latam_carib,"6,660364436793564","7,9759967453214",0
bosnia and herzegovina,europe,"7,217167137524916","7,576281529698942",1
botswana,africa,"7,404256231482192","5,645850284784378",2
brazil,latam_carib,"7,007469009574629","8,505899104963385",0
brunei darussalam,asia_pacific,"6,986505040665496","7,5150444128017355",1
bulgaria,europe,"7,231897261167225","7,194873881204231",1
burkina faso,africa,"7,024589924238381","6,763628966639544",6
burundi,africa,"6,315906321917133","5,937754271765662",2
cabo verde,africa,"7,410112729468925","6,471775834011391",6
cambodia,asia_pacific,"6,622124678330931","6,878559804719284",6
cameroon,africa,"6,440085838788092","7,228437754271765",1
canada,north_am,"8,373255963508289","9,50061025223759",4
central african republic,africa,"5,9855771351974","5,233930024410089",2
chad,africa,"6,239504894827723","6,522579332790887",6
chile,latam_carib,"7,539146485210407","8,652359641985354",3
china,asia_pacific,"6,817587907904667","7,377949552481692",1
colombia,latam_carib,"7,038761426578613","8,327908868999186",0
comoros,africa,"6,8014979268381826","6,139137510170871",6
congo,africa,"6,271075458461093","6,992473555736371",7
costa rica,latam_carib,"8,55689792253613","9,387713588283157",4
croatia,europe,"7,403819614573885","7,62306753458096",1
cuba,latam_carib,"6,560412647142903","8,154422875741023",0
cyprus,europe,"7,727190237609225","8,247558991049633",3
czech republic,europe,"7,670395728729989","9,0673311635476",4
denmark,europe,"9,43137303001765","9,828112286411717",5
djibouti,africa,"6,594329232239682","6,471775834011391",6
dominica,latam_carib,"7,219912637299563","8,154422875741023",0
dominican republic,latam_carib,"7,182380276609536","7,615947925142391",1
dpr korea,asia_pacific,"6,5739259655944515","7,5150444128017355",1
dr congo,africa,"5,937540643157341","6,591741253051261",7
ecuador,latam_carib,"6,973381460014219","8,229251423921887",0
egypt,middle_east,"6,612127455100745","6,335435313262815",6
el salvador,latam_carib,"7,233124848477785","8,458096013018713",0
equatorial guinea,africa,"6,0790468589234194","6,471775834011391",7
eritrea,africa,"5,082621880829139","6,471775834011391",7
estonia,europe,"8,852126183722353","8,091944670463791",3
eswatini,africa,"6,6980232236072945","6,382221318144833",6
ethiopia,africa,"6,625016434138964","6,457485760781124",6
fiji,asia_pacific,"7,208640494816884","7,5150444128017355",1
finland,europe,"9,902847508339791","10,0",5
france,europe,"7,830454735269456","8,802888527257933",3
gabon,africa,"6,495974737443688","6,9792514239218875",6
gambia,africa,"6,800715272372813","6,691415785191213",6
georgia,east_asia,"7,66164281302728","6,69446704637917",6
germany,europe,"8,48730579265316","9,20260374288039",4
ghana,africa,"7,448155050056044","7,179617575264443",1
greece,europe,"7,322861502780992","7,475589910496339",1
grenada,asia_pacific,"6,8040772990877665","7,5150444128017355",1
guatemala,latam_carib,"6,991727787534578","8,644222945484133",0
guinea,africa,"6,740451341007909","6,709723352318958",6
guinea-bissau,africa,"6,5031823768584065","6,471775834011391",6
guyana,latam_carib,"7,067956910381635","8,154422875741023",0
haiti,latam_carib,"6,383000841709951","5,756712774613507",2
honduras,latam_carib,"6,684977797570582","8,058380797396257",0
hong kong,asia_pacific,"7,657739937339107","7,621033360455655",1
hungary,europe,"7,379456287694052","7,9546379170056944",0
iceland,europe,"8,484754558367563","9,720301057770545",4
india,asia_pacific,"6,949718554320166","6,181855166802277",6
indonesia,asia_pacific,"7,118705025292495","7,378966639544345",1
iran,middle_east,"6,50737408111128","6,723962571196095",6
iraq,middle_east,"6,2278504494317195","6,6110659072416595",7
ireland,europe,"8,440764348689015","9,239218877135883",4
israel,middle_east,"7,390235957596468","9,359235150528884",4
italy,europe,"7,585490206041459","8,427583401139136",3
ivory coast,africa,"7,0423737031859925","7,12672904800651",1
jamaica,latam_carib,"8,708642327078206","8,088893409275833",3
japan,asia_pacific,"7,48915871264812","8,084825061025224",0
jordan,middle_east,"6,831353669779849","7,088079739625712",1
kazakhstan,east_asia,"7,094632750532409","8,006509357200976",0
kenya,africa,"7,276830237373388","6,684296175752644",6
kiribati,asia_pacific,"6,687014625128672","7,5150444128017355",1
kosovo,europe,"7,445510975309871","8,302481692432872",0
kuwait,middle_east,"7,039780605355075","8,222131814483319",0
kyrgyzstan,east_asia,"7,302231793858332","7,449145646867372",1
laos,asia_pacific,"6,343535845771141","6,97620016273393",7
latvia,europe,"8,049399121445253","8,139747762408462",3
lebanon,middle_east,"6,844445340282479","7,384052074857607",1
lesotho,africa,"7,108449988465681","5,965215622457283",6
liberia,africa,"6,514173062126907","6,141171684296175",2
libya,middle_east,"5,754425733282935","7,71765663140765",7
liechtenstein,europe,"7,888898842867702","8,572652134812213",3
lithuania,europe,"7,916184473459541","8,352318958502847",3
luxembourg,europe,"8,12261051964718","9,309397884458908",4
madagascar,africa,"6,814276514678946","6,0984540276647685",6
malawi,africa,"7,092248914127642","5,566517493897478",2
malaysia,asia_pacific,"7,395846942731738","7,528478437754272",1
maldives,asia_pacific,"6,863376297264536","7,5150444128017355",1
mali,africa,"6,762947683174235","6,563262815296989",6
malta,europe,"7,2358009908916925","8,939178193653376",0
marshall islands,asia_pacific,"6,769860576792862","7,5150444128017355",1
mauritania,africa,"6,801333646274594","6,664971521562245",6
mauritius,africa,"7,604051687594052","8,086859235150529",3
mexico,latam_carib,"7,045369264398796","8,80593978844589",0
micronesia,asia_pacific,"6,684349264667056","7,5150444128017355",1
moldova,east_asia,"7,385148522554768","7,7217249796582585",1
mongolia,asia_pacific,"7,300683489504255","7,473555736371033",1
montenegro,europe,"7,324435459574486","7,715622457282343",1
morocco,middle_east,"7,061405102821815","7,395240032546786",1
mozambique,africa,"6,883491024770706","6,640561432058584",6
myanmar,asia_pacific,"6,313839560306589","6,532750203417413",6
namibia,africa,"7,60653635115667","6,816517493897477",6
nepal,asia_pacific,"6,981873595125333","7,095199349064281",1
netherlands,europe,"9,546974863976699","9,71419853539463",5
new zealand,asia_pacific,"9,27736599948324","9,530105777054516",5
nicaragua,latam_carib,"6,820198054681424","8,307567127746136",0
niger,africa,"6,923099452821439","6,8053295362082995",6
nigeria,africa,"6,7179172641544564","7,453213995117981",1
north cyprus,europe,"7,472627587566638","7,913954434499592",0
north macedonia,europe,"7,54249290546346","7,462367778681855",1
norway,europe,"10,0","9,781326281529697",5
oman,middle_east,"6,98145990356873","7,417050899557002",1
pakistan,asia_pacific,"6,637721504276784","7,847843775427176",1
palau,asia_pacific,"6,89128869689541","7,5150444128017355",1
panama,latam_carib,"7,251983608186879","8,527257933279088",0
papua new guinea,asia_pacific,"7,277919240137583","7,5150444128017355",1
paraguay,latam_carib,"7,0006786684210995","7,939381611065906",0
peru,latam_carib,"7,305109439480473","7,892595606183889",0
philippines,asia_pacific,"6,730834208396283","7,8254678600488194",1
poland,europe,"7,533194577813041","8,385882831570383",3
portugal,europe,"8,698240942435946","7,888527257933278",3
puerto rico (u.s.),north_am,"7,812788507944065","9,304312449145646",4
qatar,middle_east,"6,9643718391837135","8,581163547599674",0
romania,europe,"7,549820417897304","8,271969080553296",3
russia,east_asia,"7,112517463807591","7,842758340113914",1
rwanda,africa,"7,0986770072406395","5,489218877135882",2
samoa,asia_pacific,"7,750557051554997","7,5150444128017355",1
san marino,europe,"7,823791044090081","8,572652134812213",3
saudi arabia,middle_east,"6,664851428498432","8,582180634662327",0
senegal,africa,"7,055367375567613","6,859235150528885",6
serbia,europe,"7,384898816243138","7,796989422294548",1
seychelles,africa,"7,167561240565972","6,471775834011391",6
sierra leone,africa,"6,7301443955116556","6,546989422294548",6
singapore,asia_pacific,"7,251856873028973","8,467249796582587",0
slovakia,europe,"7,710979433451627","8,402156224572822",3
slovenia,europe,"7,787013555635681","8,320789259560618",3
solomon islands,asia_pacific,"6,993749503849112","7,5150444128017355",1
somalia,africa,"5,0","6,846013018714402",7
south africa,africa,"7,559484279019873","6,900935720097639",6
south korea,asia_pacific,"7,83854764150362","8,093978844589095",3
south sudan,africa,"5,937713284092769","5,0",2
spain,europe,"7,851469152110333","8,560821806346624",3
sri lanka,asia_pacific,"6,8950787836719085","6,538852725793328",6
st. kitts and nevis,latam_carib,"7,024321247377937","8,154422875741023",0
st. lucia,latam_carib,"7,272793738434736","8,154422875741023",0
st. vincent and the grenadines,latam_carib,"7,084688526439825","8,154422875741023",0
sudan,africa,"6,221934640717932","6,471775834011391",6
suriname,latam_carib,"7,3948067793963","8,154422875741023",0
sweden,europe,"9,787436316983927","9,566720911310007",5
switzerland,europe,"9,058733057471992","9,70606183889341",5
syria,middle_east,"5,980327056551704","5,61940602115541",2
são tomé and príncipe,latam_carib,"6,713490319615477","8,154422875741023",0
taiwan,asia_pacific,"7,770167705628902","8,654393816110659",3
tajikistan,east_asia,"6,595718602732589","7,6586655817738",1
tanzania,africa,"6,744856628558524","5,384458909682669",2
thailand,asia_pacific,"7,218086073123311","8,208909682668835",0
timor-leste,asia_pacific,"6,4822929590728045","7,5150444128017355",1
togo,africa,"6,955135292113319","6,253051261187958",6
tonga,asia_pacific,"7,3431892363598115","7,5150444128017355",1
trinidad and tobago,latam_carib,"7,295601195123628","8,396053702196909",0
tunisia,middle_east,"7,257037368109925","6,635475996745322",6
turkey,east_asia,"7,021345743822633","7,563059397884459",1
turkmenistan,east_asia,"6,776881758987401","7,434906427990237",1
uae,middle_east,"7,281791895713556","9,039869812855981",0
uganda,africa,"6,78524713026947","6,358828315703825",6
ukraine,east_asia,"7,2274075525534345","6,504271765663141",6
united kingdom,europe,"7,945009170610469","9,272782750203417",4
united states,north_am,"7,777214635198028","9,108014646053702",4
uruguay,latam_carib,"7,90456716567998","8,498779495524817",3
uzbekistan,east_asia,"6,860343914441794","8,377746135069161",0
vanuatu,asia_pacific,"7,093426721820117","7,5150444128017355",1
venezuela,latam_carib,"5,6807912237140865","6,885679414157851",7
vietnam,asia_pacific,"6,724064086110204","7,36167615947925",1
west bank and gaza,middle_east,"6,758849678461972","6,874491456468673",6
yemen,middle_east,"5,664781450682783","5,536004882017901",2
zambia,africa,"7,056653601321448","6,275427176566314",6
zimbabwe,africa,"6,5420510547509085","5,823840520748576",2
